Department,Revised_Department,Group_Name,Building,Notes
biochemistry,Biochemistry,%sarath%jleelab%pblack%helikarlab%akramlab%dbecker%lzhang%roston%adamecgroup%harris%fatttlab%qssblab%cahoonlab%sunxhlab%lzhangbioc%rolab%mwilsonlab%khalimonchuk%vecchiolab%huanglab%romero%glowackalab%puniya,Beadle Center,
university libraries,University Libraries,%archcrg%unldr%libmediasvcs,Love Library North & Link,
physical sciences & mathematics dept,Physical & Mathematics Dept,%karr_wsc%peitzwsc,Avery Hall,
pathology,Pathology,%kucuk_c%ma2021,,UNMC
entomology,Entomology,%miller%reeuento%louislab%usdaento%taylorflylab%mcmechanlab%velezarango%ento896%lpingault%japeterson%mondal,,UNMC
oral biology,Oral Biology,%oakley%petrolab,,UNMC
buffett early childhood institute,Buffett & Childhood Institute,%welch_g%tomtestgroup%dafsfs%xyz,Prem S. Paul Research Center at Whittier School,
network & technology services,Network & Technology Services,%wsc,Love Library South,
center for brain biology and behavior,"Center for Brain, Biology & Behavior",%cb3%muncylab,Stadium East,
biochem and molecular biology,Biochem & Molecular Biology,%epigenomics%mottlab%steinke%dattalab%deeganlab%kumars%hydelab,,UNMC
advertising & public relations,Advertising & Public Relations,%bmwang,Andersen Hall,
ctr on children families and the law,Psychology,%ebrank,Burnett Hall,
information assurance,Information Assurances,%skynet,,UNO
arts and sciences,Arts and Sciences,%jockers%francisco%pilson%gladich,Oldfather Hall,Department is too broad
radiology,Radiology,%bioimaging%unmcrads,,UNMC
health services res and admin,Health Services Research & Administration,%cophnayar%hsrahw,,UNMC
geriatrics,Gerontology,%bonasera,Nebraska Hall,
research it office,"Department of Genetics, Cell Biology, and Anatomy",%unmccompen,,UNMC
mathematics and statistics,Mathematics,%frontiers%combin%kimek%kjklkjl%math420,Avery Hall,
sociology,Sociology,%jsmyth%kolson5%nsociology%snrglab%reachlab%olsonlab%jamy,Oldfather Hall,
community and regional planning,Community & Regional Planning,%crplgisnam%zhenghong,Architecture Hall,
communication studies,Communication Studies,%solizrsrch,Louise Pound Hall,
educational psychology,Educational Psychology,%ebuhs2%mapacademy%edpsyc%edps971%cmccormick%clarkblablab%beelab%gormleylab%blablab,Teachers College Hall,
dem,Dem,%endocrine%desouza,,UNMC
raikes school,Raikes Schools,%guru,Kauffman Academic Residential Center,
4-h youth development,4-H & Youth Development,%guru,Mussehl Hall,Non-academic?
educational administration,Educational Administration,%edadhighed%califfinaid,Teachers College Hall,
other department,Holland Computing Center,%testgroup01,Schorr Center,
plant pathology,Plant Pathology,%harrislab%everhartlab%nematologytp%herrlab%amitmitra%vanetten%hgrlab%alfanolab%microbiome%gadams3lab%wilsonlab%plptzeng%praccomp%rawilsonlab%bsigmon%corndiseases%rojasclab%kimlab%wegulolab,Plant Sciences Hall,
mathematics & statistics,Mathematics,%primedegconj,Avery Hall,
panhandle rsch and ext center,Agronomy and Horticulture,%altcropsprec,Beadle Center,
bureau business research,Bureau & Business Research,%bbrwscgroup%jjj%yyy,Howard L. Hawks Hall,
survey division - school of nat res,School of Natural Resources,%tadesse%gilmoregwlab,Hardin Hall,
water for food institute,School of Natural Resources,%waterforfood,Hardin Hall,
henry doorly zoo,Henry Doorly Zoo,%hdzoo,,Non-academic?
biomechanics,Biomechanics,%biomechanics%yenteslab%huntlab%dotov%mjadidilab,,UNO
management information systems,Management,%halll,Howard L. Hawks Hall,
marketing and mis,Marketing,%taylor,Howard L. Hawks Hall,
radiation oncology,Radiation Oncology,%radonc%medphys%wanglabrad%leiclab%unmcradonc,,UNMC
journalism and mass comm,Journalism and Mass Communications,%cojmc,Andersen Hall,
vet and biomedical sciences,School of Veterinary Medicine and Biomedical Sciences,%keen918%barletta%reddy,Veterinary Medicine and Biomedical Sciences Hall,
natural resources,School of Natural Resources,%complexities,Hardin Hall,
architecture,Architecture,%hemsath%archcomplab,Architecture Hall,
pharmacy practice,Pharmacy Practice and Science,%mcguire%fletcherlab,,UNMC
isqa,ISQA,%isqa8080%germonprez%rschuetzler%quality%chaas%citsci%tunixdl%mhealthhelp,Peter Kiewit Institute,
npod,Nutrition and Health Sciences,%npodtest,Leverton Hall,
agronomy,Agronomy and Horticulture,%cornsoywater%microlab,Beadle Center,
public administration,Public Administration,%nporesgrp,,UNO
economics,Economics,%econfeng%btimpe%teckyongtan%zinmetrics%yuxiyao%econ981%uchejarrett%aghosh%yifangong%econmota,Howard L. Hawks Hall,
school of accountancy,Accountancy,%heritatony%downes,Howard L. Hawks Hall,
buros center for testing,Educational Psychology,%buros,Teachers College Hall,
agricultural research division,Agricultural & Research Division,%citbpheno,Agricultural Communications Building,
neurosurgery,Neurosurgery,%aizenberg%gliskelab%kovachlab,,UNMC
computer science and information tech,School of Computing,%unklopers%csit499unk,Avery Hall,
"nebraska center for research on children, youth, families & schools","Child, Youth and Family Studies",%nkoziol,Carolyn Pope Edwards Hall,
classics and religious studies,Classical and Religious Studies,%greeksyntax,Louise Pound Hall,
university museum,School of Biological Sciences,%unsmgenomics,Manter Hall,
ag leadership educ and comm,School of Natural Resources,%plattebasin,Hardin Hall,
fee for service user,Fee For Service User,%magdanz,,Non-academic?
internal medicine,Internal Medicine,%chatzizisis%kharbanda%rombergerlab%cbbl%brailitalab,,UNMC
special ed and communic disorders,Special Education and Communication Disorders,%nl3wanglab%dietschlab,Barkley Memorial Center,
epidemiology,Epidemiology,%lungcancer%farazilab%fauverlab,,UNMC
nebraska food for health center,Food Science & Technology,%nfhc,Food Innovation Center,
business administration,Finance,%gfriesen,Howard L. Hawks Hall,
nebraska water center,Internal Medicine,%nwccray%mitralab,,UNMC
nebraska state climate office,Earth and Atmospheric Sciences,%nscomeso,Bessey Hall,
department of accounting,Accountancy,%acctwu,Howard L. Hawks Hall,
nebraska innovation campus,Food Science & Technology,%goodallergy%sanitation,Food Innovation Center,
center for advanced land management information technologies,School of Natural Resources,%qilab,Hardin Hall,
new student programming,School of Computing,%pitlaresear,Avery Hall,
food science & technology,Food Science & Technology,%farrp,Food Innovation Center,
management,Management,%yjf%deeplearning%yujiajoya19%mirzo%lpoppo%mirzokhidjon,Howard L. Hawks Hall,
pediatrics,Pediatrics,%durdenlab%mahapatralab%archang%salomonlab,,UNMC
food science and technology / biochemistry,Food Science & Technology,%khplab,Food Innovation Center,
marketing,Marketing,%alokkumarmkt%qianchen%oiojiju%marketing%nataliemktg,Howard L. Hawks Hall,
applied ecology,School of Natural Resources,%wildecology%awesmlab,Hardin Hall,
university of nebraska public policy center,Public Policy Center,%abdelmonem,Andersen Hall,
computer and electronics engineering,Electrical & Computer Engineering,%hengletest%liulab,Scott Engineering Center,
cyber systems,Cyber Systems,%qolomanybash%hastings,,UNK
school of veterinary medicine and biomedical sciences (svmbs),School of Veterinary Medicine and Biomedical Sciences,%xianglab,Veterinary Medicine and Biomedical Sciences Hall,
anthropology,Anthropology,%wandsnider%heitman,Oldfather Hall,
astronomy,Physics and Astronomy,%testgroup2,Theodore Jorgensen Hall,
"ne ctr  rsrch on youth,fam and school","Nebraska Center for Research on Children, Youth, Families and Schools",%rreichenberg,Carolyn Pope Edwards Hall,
"environ, agri and occ health","Environmental, Agricultural, and Occupational Health",%jessebell%wileylab%crosslab,,UNMC
ogs,School of Natural Resources,%cbio,Hardin Hall,
public policy center,Public Policy Center,%nlupeterm,Andersen Hall,
office of vice pres/vice chancellor,School of Natural Resources,%carrietest%tom123,Hardin Hall,
department of redundant monkey department,Holland Computing Center,%groupygroup,Schorr Center,
nebraska statewide arboretum - nfs,Nebraska Statewide Arboretum - NFS,%tomtestspam,Keim Hall,
afghanistan,Afghanistan,%tomtestspam2,,UNO
na,Na,%skoepsell,,UNMC
rheumatology,Rheumatology,%unmcrheum,,UNMC
law,Law,%jtierney4%adsafs%pppp%ioopp%jkn,McCollum Hall,
nutrition and human health,Nutrition and Health Sciences,%auchtung,Leverton Hall,
carson ctr for emerging media arts,Theatre & Film,%twomeylab%carsoncenter%emar349,Johnny Carson Center for Emerging Media Arts,
cellular/integrative physiology,Cellular and Integrative Physiology,%gundrylab,,UNMC
its,IT Security Services,%itssecops%cobits,Love Library South,
forensic science program,School of Natural Resources,%adamowiczlab,Filley Hall,
chemistry and biochemistry,Biochemistry,%creighton%dieckmanlab,Beadle Center,
library,McGoogan Library of Medicine,%mcgooganhsl,,UNMC
school of computing,School of Computing,%cse478%ins%csce473%variyam%variyamlab%csce471871,Avery Hall,
department of agronomy and horticulture,Agronomy and Horticulture,%santralab,Beadle Center,
school of veterinary medicine and biomedical sciences,School of Veterinary Medicine and Biomedical Sciences,%vanwormerlab,Veterinary Medicine and Biomedical Sciences Hall,
eng dean&#39;s office-omaha,Eng & Office Omaha,%coedo,,UNO?
nebraska dhhs,Nebraska Dhhss,%bryantegomoh,,Non-academic?
community and regional planning program,Community & Regional Planning,%geoai,Architecture Hall,
nswers,nswers,%nswers,,UNCA?
nebraska nanoscale facility,Nanoscience Research Center,%binek,Voelte-Keegan Nanoscience Research Center,
physical therapy education,Nebraska Athletic Performance Lab,%napl,,UNMC
